,Counts
ENSR00000262000,1
8:143028397-143034397,1
ENSR00000141419,1
ENSR00000091648,1
ENSR00000184227,1
ENSR00000069432,1
ENSR00000210516,1
ENSR00000218572,1
ENSR00000206152,1
ENSR00000021140,1
ENSR00000180174,1
ENSR00000151244,1
ENSR00000196117,1
ENSR00000031109,1
ENSR00000308331,1
ENSR00000069431,1
ENSR00000299409,1
ENSR00000021141,1
ENSR00000141766,1
ENSR00000118617,1
ENSR00000118753,1
ENSR00000160395,1
ENSR00000230283,1
ENSR00000221610,1
1:77702671-77708671,1
ENSR00000091649,1
ENSR00000008070,1
ENSR00000217907,1
ENSR00000193091,1
ENSR00000242410,1
11:118912697-118918697,1
ENSR00000139821,1
ENSR00000008071,1
ENSR00000100961,1
ENSR00000232018,1
ENSR00000165208,1
ENSR00000083754,1
ENSR00000198671,1
ENSR00000321350,1
ENSR00000091650,1
ENSR00000118775,1
2:142996255-143002255,1
ENSR00000141764,1
ENSR00000027227,1
ENSR00000141765,1
ENSR00000214079,1
ENSR00000166287,1
ENSR00000039922,1
ENSR00000067556,1
ENSR00000045673,1
ENSR00000141762,1
ENSR00000091645,1
ENSR00000097020,1
ENSR00000045674,1
ENSR00000238225,1
ENSR00000160142,1
ENSR00000144516,1
21:34848518-34854518,1
ENSR00000013534,1
ENSR00000031055,1
ENSR00000013524,1
ENSR00000224065,1
ENSR00000217906,1
11:129229722-129235722,1
6:13646531-13652531,1
ENSR00000035554,1
ENSR00000178347,1
ENSR00000167801,1
ENSR00000178346,1
ENSR00000261220,1
ENSR00000218789,1
3:101702711-101708711,1
21:34845625-34851625,1
ENSR00000333895,1
ENSR00000230284,1
21:34845229-34851229,1
ENSR00000042046,1
ENSR00000150321,1
21:34844759-34850759,1
11:74820918-74826918,1
ENSR00000131823,1
ENSR00000043065,1
ENSR00000309266,1
ENSR00000289942,1
ENSR00000141760,1
ENSR00000296415,1
ENSR00000308793,1
17:66796909-66802909,1
ENSR00000141761,1
ENSR00000003943,1
